Location.City,Location.State,Data.Shape,Data.Encounter duration,Dates.Sighted.Year
anchor point,AK,disk,300,2005
anchorage,AK,changing,21600,2000
anchorage,AK,changing,600,2006
anchorage,AK,cigar,15,2014
anchorage,AK,circle,300,2011
anchorage,AK,circle,4,1972
anchorage,AK,circle,7200,2006
anchorage,AK,circle,900,2013
anchorage,AK,circle,10,1998
anchorage,AK,circle,10,2013
anchorage,AK,circle,10,2004
anchorage,AK,circle,1800,2003
anchorage,AK,circle,60,2010
anchorage,AK,circle,300,2013
anchorage,AK,cylinder,30,2012
anchorage,AK,cylinder,900,2014
anchorage,AK,cylinder,900,1997
anchorage,AK,disk,2700,2008
anchorage,AK,disk,2700,2008
anchorage,AK,disk,2700,2006
anchorage,AK,disk,1800,2006
anchorage,AK,disk,3,1986
anchorage,AK,disk,180,1949
anchorage,AK,disk,900,2009
anchorage,AK,disk,90,1999
anchorage,AK,disk,300,2012
anchorage,AK,disk,60,2006
anchorage,AK,egg,900,2001
anchorage,AK,fireball,2,2013
anchorage,AK,fireball,10,2012
anchorage,AK,flash,2,2013
anchorage,AK,flash,300,2014
anchorage,AK,flash,60,2014
anchorage,AK,formation,420,2012
anchorage,AK,formation,1200,2009
anchorage,AK,light,60,2010
anchorage,AK,light,90,2012
anchorage,AK,light,5400,2012
anchorage,AK,light,28800,2000
anchorage,AK,light,600,2014
anchorage,AK,light,300,2013
anchorage,AK,light,300,2010
anchorage,AK,light,300,2012
anchorage,AK,light,300,2005
anchorage,AK,light,300,2012
anchorage,AK,light,3,2006
anchorage,AK,light,180,2013
anchorage,AK,light,180,1987
anchorage,AK,light,180,2013
anchorage,AK,light,180,2014
anchorage,AK,light,1200,2012
anchorage,AK,light,20,2003
anchorage,AK,light,2,2006
anchorage,AK,light,2,2011
anchorage,AK,light,15,2003
anchorage,AK,light,900,1995
anchorage,AK,light,900,2004
anchorage,AK,light,780,2005
anchorage,AK,light,900,2012
anchorage,AK,light,600,2003
anchorage,AK,light,60,2012
anchorage,AK,light,3600,2012
anchorage,AK,other,300,2012
anchorage,AK,other,30,2003
anchorage,AK,other,7200,2005
anchorage,AK,oval,4,2014
anchorage,AK,oval,180,2013
anchorage,AK,oval,120,2005
anchorage,AK,oval,900,1998
anchorage,AK,sphere,300,2003
anchorage,AK,sphere,300,2012
anchorage,AK,sphere,120,2012
anchorage,AK,sphere,20,2004
anchorage,AK,teardrop,180,2008
anchorage,AK,triangle,5,2007
anchorage,AK,triangle,1800,2012
anchorage,AK,triangle,120,2012
anchorage,AK,triangle,900,2010
anchorage,AK,triangle,600,2002
anchorage,AK,unknown,300,2013
anchorage,AK,unknown,30,2013
anchorage,AK,unknown,600,2012
anchorage,AK,unknown,60,2002
angoon,AK,sphere,600,2013
auke bay,AK,light,2400,1998
auke bay,AK,light,37800,1998
bethel,AK,circle,30,2012
bethel,AK,circle,120,2013
bethel,AK,disk,90,2009
bethel,AK,light,600,2012
bethel,AK,other,900,2009
bethel,AK,other,120,2002
bethel,AK,triangle,120,1996
bethel,AK,triangle,780,2014
big lake,AK,light,180,1998
butte,AK,light,240,2014
chugiak,AK,light,60,2014
chugiak,AK,rectangle,120,1973
clam gulch,AK,sphere,1200,2014
cold bay,AK,fireball,120,1995
cordova,AK,disk,18000,1974
cordova,AK,sphere,600,2001
council,AK,oval,15,2003
delta junction,AK,cigar,900,1966
delta junction,AK,triangle,120,2013
eagle river,AK,fireball,600,2012
eagle river,AK,light,60,2000
eagle river,AK,light,120,2012
eagle river,AK,light,1200,2008
eagle river,AK,other,10,2001
eagle river,AK,other,360,2013
eagle river,AK,oval,900,1998
eklutna,AK,cigar,180,1936
ester,AK,flash,1500,2005
fairbanks,AK,cigar,30,1969
fairbanks,AK,cigar,180,1993
fairbanks,AK,circle,300,2011
fairbanks,AK,circle,5400,2003
fairbanks,AK,circle,600,2001
fairbanks,AK,circle,600,2013
fairbanks,AK,circle,120,2013
fairbanks,AK,diamond,180,2013
fairbanks,AK,diamond,60,2013
fairbanks,AK,disk,300,2003
fairbanks,AK,disk,300,2013
fairbanks,AK,disk,120,1949
fairbanks,AK,fireball,300,2002
fairbanks,AK,fireball,240,2006
fairbanks,AK,fireball,180,2013
fairbanks,AK,fireball,120,2013
fairbanks,AK,formation,300,1998
fairbanks,AK,formation,240,1969
fairbanks,AK,light,420,2013
fairbanks,AK,light,600,2012
fairbanks,AK,light,600,2013
fairbanks,AK,light,4,2009
fairbanks,AK,light,1200,2004
fairbanks,AK,light,120,2013
fairbanks,AK,light,15,2005
fairbanks,AK,light,900,2012
fairbanks,AK,light,600,2009
fairbanks,AK,light,180,2012
fairbanks,AK,other,2700,2005
fairbanks,AK,other,2700,2005
fairbanks,AK,other,1800,2001
fairbanks,AK,oval,604800,2009
fairbanks,AK,oval,30,2000
fairbanks,AK,oval,3,1998
fairbanks,AK,oval,10800,2004
fairbanks,AK,oval,120,2012
fairbanks,AK,sphere,120,1999
fairbanks,AK,sphere,10,2006
fairbanks,AK,sphere,3600,2011
fairbanks,AK,unknown,2,2008
fairbanks,AK,unknown,1800,2004
fairbanks,AK,unknown,14,2013
fairbanks,AK,unknown,1200,2011
fairbanks,AK,unknown,120,2008
fairbanks,AK,unknown,120,2012
fairbanks,AK,unknown,1140,1954
girdwood,AK,sphere,120,1986
glennallen,AK,rectangle,1500,1980
glennallen,AK,unknown,3600,1989
glennallen,AK,unknown,12600,2005
haines,AK,diamond,1800,2012
healy,AK,light,3600,2009
homer,AK,fireball,5,2007
homer,AK,fireball,300,2012
homer,AK,flash,1200,2012
homer,AK,light,1800,2012
homer,AK,light,1800,2012
homer,AK,other,5,2000
homer,AK,oval,40,2009
hooper bay,AK,unknown,300,2011
juneau,AK,circle,7200,1985
juneau,AK,disk,15,2005
juneau,AK,fireball,60,2010
juneau,AK,light,7200,1997
juneau,AK,light,600,2011
juneau,AK,other,900,1968
juneau,AK,other,900,1968
juneau,AK,sphere,900,1982
juneau,AK,triangle,10,2009
juneau,AK,triangle,60,1998
kaktovik,AK,light,1800,2009
kenai,AK,cigar,600,1997
kenai,AK,cone,40,2000
kenai,AK,flash,30,2003
